('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1070353 function calls (1043105 primitive calls) in 2.346 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      356    1.490    0.004    1.490    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.074    0.074    0.076    0.076 {built-in method _socket.getaddrinfo}
        1    0.064    0.064    0.064    0.064 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.061    0.061    0.061    0.061 {method 'connect' of '_socket.socket' objects}
      219    0.027    0.000    0.027    0.000 {built-in method _io.open_code}
     4229    0.025    0.000    0.134    0.000 parser.py:426(parse_starttag)
    32121    0.025    0.000    0.025    0.000 {method 'lower' of 'str' objects}
      219    0.024    0.000    0.024    0.000 {built-in method marshal.loads}
        1    0.021    0.021    0.021    0.021 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    46151    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
 4632/252    0.020    0.000    0.056    0.000 _parser.py:512(_parse)
        2    0.018    0.009    0.219    0.109 parser.py:214(goahead)
 5204/213    0.012    0.000    0.027    0.000 _compiler.py:39(_compile)
      296    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    252/1    0.011    0.000    2.347    2.347 {built-in method builtins.exec}
     4229    0.010    0.000    0.057    0.000 __init__.py:990(handle_starttag)
     4230    0.010    0.000    0.028    0.000 element.py:1813(__init__)
  755/749    0.010    0.000    0.055    0.000 {built-in method builtins.__build_class__}
     4229    0.009    0.000    0.015    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
    93805    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     3997    0.009    0.000    0.048    0.000 parser.py:486(parse_endtag)
82793/82753    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
77557/70941    0.008    0.000    0.010    0.000 {built-in method builtins.len}
     8784    0.007    0.000    0.029    0.000 __init__.py:829(endData)
    23/21    0.007    0.000    0.009    0.000 {built-in method _imp.create_dynamic}
     4229    0.007    0.000    0.067    0.000 _htmlparser.py:142(handle_starttag)
 1179/213    0.006    0.000    0.057    0.000 _parser.py:452(_parse_sub)
5200/5065    0.006    0.000    0.009    0.000 {built-in method __new__ of type object at 0x5b094361b1e0}
    26786    0.006    0.000    0.008    0.000 _parser.py:168(__getitem__)
12824/10040    0.006    0.000    0.012    0.000 {method 'sub' of 're.Pattern' objects}
    24827    0.006    0.000    0.006    0.000 {method 'group' of 're.Match' objects}
     1189    0.005    0.000    0.005    0.000 {built-in method posix.stat}
    12398    0.005    0.000    0.005    0.000 element.py:382(setup)
     4228    0.005    0.000    0.010    0.000 __init__.py:953(_popToTag)
 5154/414    0.005    0.000    0.006    0.000 _parser.py:178(getwidth)
     8741    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
    29204    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     4229    0.004    0.000    0.033    0.000 _htmlparser.py:204(handle_endtag)
      744    0.004    0.000    0.007    0.000 _compiler.py:248(_optimize_charset)
     4084    0.004    0.000    0.010    0.000 __init__.py:870(object_was_parsed)
     8653    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     4230    0.004    0.000    0.005    0.000 __init__.py:812(pushTag)
    16825    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
      566    0.004    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
        5    0.004    0.001    0.004    0.001 financial_enhanced.py:53(<genexpr>)
     4084    0.003    0.000    0.005    0.000 __init__.py:735(string_container)
    13991    0.003    0.000    0.005    0.000 _parser.py:261(get)
10730/10729    0.003    0.000    0.007    0.000 {built-in method builtins.next}
        5    0.003    0.001    0.003    0.001 {built-in method _codecs.utf_8_decode}
    21798    0.003    0.000    0.003    0.000 _parser.py:240(__next)
     4084    0.003    0.000    0.006    0.000 element.py:1478(__new__)
       94    0.003    0.000    0.020    0.000 filter.py:130(filter)
      219    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
     4229    0.003    0.000    0.003    0.000 __init__.py:789(popTag)
      304    0.003    0.000    1.519    0.005 http11.py:209(_receive_event)
    23200    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
     4228    0.003    0.000    0.028    0.000 __init__.py:1056(handle_endtag)
     9156    0.003    0.000    0.008    0.000 typing.py:396(inner)
        1    0.003    0.003    0.035    0.035 dammit.py:128(_populate_class_variables)
        9    0.003    0.000    0.202    0.022 {method 'join' of 'bytes' objects}
    12359    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     8313    0.003    0.000    0.014    0.000 filter.py:726(match)
    21174    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    11902    0.002    0.000    0.003    0.000 financial_enhanced.py:82(<genexpr>)
     9689    0.002    0.000    0.014    0.000 parser.py:105(_unescape_attrvalue)
     2990    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     4229    0.002    0.000    0.008    0.000 parser.py:476(check_for_whole_start_tag)
       23    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
    21608    0.002    0.000    0.002    0.000 element.py:3090(descendants)
     2784    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     3262    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      276    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
      482    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
      989    0.002    0.000    0.004    0.000 element.py:2068(_all_strings)
     2407    0.002    0.000    0.002    0.000 __init__.py:909(_linkage_fixer)
    11732    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    11086    0.002    0.000    0.003    0.000 _parser.py:256(match)
      219    0.002    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:826(get_code)
       19    0.002    0.000    0.004    0.000 enum.py:1739(convert_class)
      660    0.002    0.000    0.015    0.000 _connection.py:438(next_event)
      346    0.002    0.000    0.097    0.000 __init__.py:330(_compile)
6033/6024    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
  619/618    0.002    0.000    0.004    0.000 _readers.py:156(__call__)
     4229    0.002    0.000    0.011    0.000 filter.py:540(matches_tag)
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
     2784    0.002    0.000    0.008    0.000 parser.py:93(_replace_attr_charref)
      356    0.002    0.000    1.496    0.004 sync.py:124(read)
     2414    0.002    0.000    0.005    0.000 financial_enhanced.py:82(<lambda>)
    282/7    0.002    0.000    0.300    0.043 <frozen importlib._bootstrap>:1360(_find_and_load)
     7022    0.001    0.000    0.002    0.000 _parser.py:176(append)
        2    0.001    0.001    0.023    0.011 element.py:1266(_find_all)
     1036    0.001    0.000    0.002    0.000 contextlib.py:108(__init__)
    281/6    0.001    0.000    0.300    0.050 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     4229    0.001    0.000    0.002    0.000 element.py:2007(is_empty_element)
      310    0.001    0.000    0.004    0.000 _connection.py:272(_process_event)
       31    0.001    0.000    0.020    0.001 dataclasses.py:986(_process_class)
      281    0.001    0.000    0.003    0.000 typing.py:184(_type_check)
     3967    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
      660    0.001    0.000    0.008    0.000 _connection.py:410(_extract_next_receive_event)
