('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1055263 function calls (1027680 primitive calls) in 2.073 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    98282    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
81004/80998    0.009    0.000    0.009    0.000 {built-in method builtins.isinstance}
80222/73823    0.009    0.000    0.010    0.000 {built-in method builtins.len}
    45985    0.026    0.000    0.026    0.000 {method 'match' of 're.Pattern' objects}
    32602    0.031    0.000    0.031    0.000 {method 'lower' of 'str' objects}
    30099    0.006    0.000    0.009    0.000 _parser.py:168(__getitem__)
    28263    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    26797    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    24556    0.007    0.000    0.007    0.000 {method 'group' of 're.Match' objects}
    23238    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    21612    0.003    0.000    0.003    0.000 element.py:3090(descendants)
    20783    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    17876    0.004    0.000    0.006    0.000 _parser.py:261(get)
    16833    0.005    0.000    0.008    0.000 _markupbase.py:44(updatepos)
    14783    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    13693    0.002    0.000    0.003    0.000 _parser.py:256(match)
    13324    0.001    0.000    0.001    0.000 typing.py:2300(cast)
    12957    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
12851/10073    0.007    0.000    0.016    0.000 {method 'sub' of 're.Pattern' objects}
    12400    0.007    0.000    0.007    0.000 element.py:382(setup)
    12365    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    11902    0.003    0.000    0.004    0.000 financial.py:105(<genexpr>)
     9721    0.003    0.000    0.019    0.000 parser.py:105(_unescape_attrvalue)
     9362    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     8999    0.003    0.000    0.005    0.000 typing.py:396(inner)
     8788    0.009    0.000    0.037    0.000 __init__.py:829(endData)
     8672    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     8665    0.002    0.000    0.006    0.000 {built-in method builtins.next}
     8594    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8315    0.003    0.000    0.017    0.000 filter.py:726(match)
     8130    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
7970/7902    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
     7595    0.002    0.000    0.003    0.000 _parser.py:176(append)
     7338    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6803    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     6294    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
 5612/207    0.014    0.000    0.031    0.000 _compiler.py:39(_compile)
 5554/400    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
4957/4893    0.006    0.000    0.008    0.000 {built-in method __new__ of type object at 0x5f33cbeca1e0}
     4817    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
 4814/216    0.021    0.000    0.058    0.000 _parser.py:512(_parse)
     4551    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4457    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     4232    0.005    0.000    0.006    0.000 __init__.py:812(pushTag)
     4232    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     4232    0.009    0.000    0.036    0.000 element.py:1813(__init__)
     4232    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     4231    0.004    0.000    0.005    0.000 __init__.py:789(popTag)
     4231    0.014    0.000    0.074    0.000 __init__.py:990(handle_starttag)
     4231    0.015    0.000    0.021    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4231    0.009    0.000    0.087    0.000 _htmlparser.py:142(handle_starttag)
     4231    0.002    0.000    0.013    0.000 filter.py:540(matches_tag)
     4231    0.032    0.000    0.173    0.000 parser.py:426(parse_starttag)
     4231    0.003    0.000    0.010    0.000 parser.py:476(check_for_whole_start_tag)
     4231    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     4231    0.006    0.000    0.042    0.000 _htmlparser.py:204(handle_endtag)
     4231    0.002    0.000    0.002    0.000 element.py:2007(is_empty_element)
     4231    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
     4230    0.006    0.000    0.013    0.000 __init__.py:953(_popToTag)
     4230    0.003    0.000    0.036    0.000 __init__.py:1056(handle_endtag)
     4197    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
     4130    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
     4098    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     4084    0.004    0.000    0.007    0.000 __init__.py:735(string_container)
     4084    0.005    0.000    0.012    0.000 __init__.py:870(object_was_parsed)
     4084    0.004    0.000    0.008    0.000 element.py:1478(__new__)
     3999    0.011    0.000    0.060    0.000 parser.py:486(parse_endtag)
     3999    0.001    0.000    0.001    0.000 parser.py:193(clear_cdata_mode)
     3967    0.002    0.000    0.004    0.000 _htmlparser.py:222(handle_data)
     3941    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3881    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3345    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     3262    0.003    0.000    0.003    0.000 {method 'findall' of 're.Pattern' objects}
3242/3238    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     3124    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
     2778    0.003    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     2778    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
     2778    0.002    0.000    0.010    0.000 parser.py:93(_replace_attr_charref)
     2692    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
     2585    0.000    0.000    0.001    0.000 css_parser.py:317(match)
     2573    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2414    0.001    0.000    0.007    0.000 filter.py:292(matches_string)
     2414    0.002    0.000    0.006    0.000 financial.py:105(<lambda>)
     2407    0.003    0.000    0.003    0.000 __init__.py:909(_linkage_fixer)
     1842    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1650    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1638    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1548    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1510    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1510    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1502    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1401    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     1350    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
 1313/207    0.005    0.000    0.058    0.000 _parser.py:452(_parse_sub)
     1275    0.001    0.000    0.008    0.000 filter.py:629(_match_attribute_value_helper)
     1174    0.001    0.000    0.001    0.000 _parser.py:312(_class_escape)
     1098    0.000    0.000    0.001    0.000 enum.py:1575(_get_value)
     1040    0.000    0.000    0.001    0.000 _compiler.py:412(_simple)
      996    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      994    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      992    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      990    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      989    0.002    0.000    0.004    0.000 element.py:2068(_all_strings)
      953    0.001    0.000    0.001    0.000 _compiler.py:221(_compile_charset)
      953    0.005    0.000    0.007    0.000 _compiler.py:248(_optimize_charset)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      895    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
      895    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
      805    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      802    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
      801    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      797    0.000    0.000    0.000    0.000 element.py:2355(get)
      792    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      789    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      776    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      738    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      710    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      710    0.001    0.000    0.010    0.000 filter.py:618(_attribute_match)
      698    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      692    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
  628/625    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      601    0.000    0.000    0.000    0.000 typing.py:1212(_is_dunder)
  593/588    0.007    0.000    0.048    0.000 {built-in method builtins.__build_class__}
      589    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
    569/6    0.000    0.000    0.242    0.040 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
      562    0.000    0.000    0.001    0.000 typing.py:1286(__setattr__)
      552    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      544    0.000    0.000    0.000    0.000 annotationlib.py:272(__eq__)
      541    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      519    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      494    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
      494    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      437    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      427    0.000    0.000    0.001    0.000 enum.py:1145(__new__)
      427    0.000    0.000    0.001    0.000 enum.py:676(__call__)
      422    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
      414    0.000    0.000    0.000    0.000 _compiler.py:587(isstring)
      411    0.000    0.000    0.000    0.000 socket.py:96(<lambda>)
